Tray,ID,POS,plant id,Density,Final_Density,age_number,age,F_LF,yield,flower_number_1,D2Flowering,flower_node,pollen_avg,ff_height,ff_node,,auxnode,main_node_number,total_node_number,prop_early_growth,lowervolume,midrvolume,upvolume,Huber_Volume,Smalian_Volume,Newton_Volume,final_height,veg_weight,repro_weight,total_weight,leaf_area,flower_area,corolla,petal
4,IS,B8,lightbluet,Interrmediate,3,0,1.E,,0.0021,4,39,3,3.5,4.1,3,0,0,4,4,37.22727273,0.004052415,0.005299313,0.000754767,0.016521386,0.010260826,0.014434533,5.3,0.013,0.005,0.018,0.946777,3.895624,20.33,19.16
4,IS,B8,brownt,Interrmediate,3,0,1.E,LF,0.00168,2,39,3,,4,3,0,0,3,3,,,,,0,,,4,0.006,0.004,0.01,0.64008,2.343401,14.71,15.795
4,IS,C4,brownt,Interrmediate,4,0,1.E,F,0.00126,2,37,3,,4.3,3,0,0,4,4,47.05882353,0.003201909,0.002602415,0.000170117,0.007460255,0.00590505,0.006941854,4.3,0.006,0.003,0.009,0.4891,3.164808,19.56,16.18
4,IS,C4,lightbluet,Interrmediate,4,0,1.E,,0.00084,2,39,,,4.1,3,0,0,3,3,,,,,0,,,4.1,0.004,0.002,0.006,0.53352,,,
4,IS,C4,redt,Interrmediate,4,0,1.E,,0.00084,2,37,3,14,3.5,3,0,0,3,3,,,,,0,,,3.5,0.003,0.002,0.005,0.43358,2.164062,15.58,13.89
4,IS,C4,none,Interrmediate,4,0,1.E,LF,0,1,43,,,2.1,2,0,0,2,2,,,,,0,,,2.1,0.001,0,0.001,0.4788,,,
4,IS,C6,lightbluet,Interrmediate,3,0,1.E,F,0.0021,3,37,3,3,3.5,2,0,0,3,3,,,,,0,,,4,0.006,0.005,0.011,0.3472,2.809896,17.04,16.49
4,IS,C6,brownt,Interrmediate,3,0,1.E,,0.00042,2,41,,,2.5,2,0,0,2,2,,,,,0,,,2.5,0.002,0.001,0.003,0.480105,,,
4,IS,C6,none,Interrmediate,3,0,1.E,LF,0.00042,2,41,3,2,2.3,2,0,0,2,2,,,,,0,,,2.3,0.002,0.001,0.003,0.296241,1.670625,13.75,12.15
4,IS,C7,brownt,LOW,1,0,1.E,,0.0063,7,35,3,,5.2,3,0,0,5,5,63.11787072,0.010821207,0.003448209,0.00045286,0.017241046,0.021578796,0.018686963,7,0.02,0.015,0.035,1.582016,3.6771405,19.25,18.955
4,MB,A4,red,Interrmediate,2,0,1.E,,0.00588,5,33,4,2.5,6,2,0,0,4,4,36.7965368,0.014186242,0.015586213,0.000981747,0.034289669,0.033909537,0.034162959,11,0.022,0.014,0.036,1.5304808,5.5108965,23.795,23.145
4,MB,A4,none,Interrmediate,2,0,1.E,LF,0.00588,4,33,3,1.5,7,3,0,0,4,4,16.08168475,0.006650118,0.027708824,0.004412363,0.050984236,0.035640553,0.045869675,9.2,0.021,0.014,0.035,1.205708,5.6313875,24.705,22.79
4,MB,A6,none,LOW,1,0,1.E,,0.01386,6,35,3,13,6,2,0,0,5,5,39.64440173,0.019244202,0.018145824,0.003201909,0.044457268,0.049787369,0.046233968,9.8,0.038,0.033,0.071,2.628872,5.8835925,26.025,22.635
4,MB,B3,none,LOW,1,0,1.E,,0.00504,6,39,4,,9,3,0,0,6,6,46.22288706,0.024996846,0.016548325,0.001791884,0.042332925,0.052397794,0.045687882,11,0.026,0.012,0.038,1.63149,3.71094,19.05,19.48
4,MB,B4,none,LOW,1,0,1.E,,0.00336,3,39,,,6,2,0,0,3,3,,,,,0,,,7.6,0.013,0.008,0.021,,,,
4,MB,B6,none,LOW,1,0,1.E,,0.00714,5,35,3,7.5,5.2,2,0,0,5,5,48.88103651,0.01623181,0.009351728,0.002859946,0.028366908,0.033913071,0.030215629,9.1,0.023,0.017,0.04,1.418032,4.670264,22.545,20.635
4,MB,C8,red,LOW,1,0,1.E,,0.02226,12,35,4,3,8.1,3,1.098612289,2,6,8,77.10469831,0.061956239,0.007478555,0.002290219,0.05309774,0.099258536,0.068484672,14.2,0.07,0.053,0.123,5.053545,7.3464625,28.845,25.475
4,MB,D3,none,LOW,1,0,1.E,,0.00462,4,37,3,1,4.8,2,0,0,4,4,38.21976364,0.009072912,0.008931148,0.001197417,0.02168993,0.022914954,0.022098271,8.5,0.015,0.011,0.026,0.9482,4.60724,23.05,19.985
4,MB,D9,red,Interrmediate,4,0,1.E,F,0.00672,3,35,3,6,6,2,0,0,3,3,,,,,0,,,8,0.018,0.016,0.034,1.464921,5.4962855,23.99,22.895
4,MB,D9,pink,Interrmediate,4,0,1.E,,0.00546,2,37,3,0,9.1,3,0,0,3,3,,,,,0,,,9.1,0.021,0.013,0.034,1.046904,5.908407,25.07,23.57
4,MB,D9,pink,Interrmediate,4,0,1.E,,0.00546,2,37,3,,9.1,3,0,0,3,3,,,,,0,,,9.1,0.021,0.013,0.034,1.046904,5.908407,25.07,23.57
4,MB,D9,none,Interrmediate,4,0,1.E,LF,0.00378,3,37,3,6.5,6.1,3,0,0,4,4,31.44375554,0.005938783,0.009954913,0.00090572,0.023891792,0.016970241,0.021584608,7.2,0.013,0.009,0.022,1.127588,3.591724,19.985,17.75
4,SJER,B9,lightbluet,Interrmediate,2,0,1.E,F,0.0084,5,,3,7,8.3,3,0,0,5,5,63.95524645,0.031228975,0.012985448,0.001508592,0.056270275,0.045892661,0.05281107,10.4,0.021,0.02,0.041,2.79837,4.519134,21.92,20.45
4,SJER,B9,brownt,Interrmediate,2,0,1.E,LF,0.00798,5,37,3,,6.5,3,0,0,5,5,78.03780378,0.041673506,0.004525775,0.0008143,0.016028785,0.039053891,0.02370382,8.5,0.021,0.019,0.04,1.71114,4.061068,21.435,18.905
4,SJER,C3,red,Interrmediate,3,0,1.E,F,0.01008,7,35,4,2,7.2,3,0,0,7,7,57.78203899,0.03209197,0.009519253,0.003205757,0.041602663,0.070295432,0.051166919,11.8,0.03,0.024,0.054,2.39085,5.003943,23.015,21.755
4,SJER,C3,brownt,Interrmediate,3,0,1.E,,0.00252,3,37,3,,7,3,0,0,4,4,68.54345165,0.015393791,0.005284154,0.000245437,0.021400825,0.017574251,0.0201253,8.1,0.015,0.006,0.021,1.704134,4.088695,19.925,20.39
4,SJER,C3,none,Interrmediate,3,0,1.E,LF,0.00126,2,39,3,6.5,4.4,2,0,0,2,2,,,0,0,1.38E-07,,,4.4,0.008,0.003,0.011,0.940644,3.492137,19.01,18.37
4,SJER,D1,none,LOW,1,0,1.E,,0.00882,8,37,4,6.5,5.2,2,0,0,6,6,67.31967943,0.053200942,0.011282078,0.002736953,0.047596267,0.076764752,0.057319095,13.5,0.034,0.021,0.055,2.82458,5.388708,23.79,22.66
5,BS,A1,none,LOW,1,15,2.M,,0.03192,27,,,,14.1,4,2.48490665,11,8,19,74.59066101,0.19803798,0.029162987,0.001791884,0.178310836,0.365949839,0.240857171,21.4,0.216,0.076,0.292,,,,
5,BS,A5,n1,Interrmediate,3,15,2.M,F,0.00798,5,,,,11.4,2,0,0,4,4,62.85856822,0.064126135,0.020926916,0.00275918,0.063617826,0.080659381,0.069298344,15.2,0.04,0.019,0.059,,,,
5,BS,A5,n3,Interrmediate,3,15,2.M,,0.00672,4,,,,8.3,2,0,0,4,4,67.74193548,0.033943309,0.007433002,0.000615752,0.021661891,0.041609417,0.028311067,10.2,0.021,0.016,0.037,,,,
5,BS,A5,n2,Interrmediate,3,15,2.M,LF,0,1,,,,4.3,3,0,0,3,3,,,,,0,,,4.3,0.002,0,0.002,,,,
5,BS,A7,n1,LOW,1,15,2.M,,0.03402,13,,,,14.2,3,1.609437912,4,7,11,77.76731274,0.261211899,0.029162987,0.003041059,0.204974139,0.452879048,0.287609109,24.6,0.161,0.081,0.242,,,,
5,BS,A8,n1,Interrmediate,2,15,2.M,F,0.01764,6,,,,8.2,2,0,0,4,4,57.57026292,0.063338381,0.026015507,0.00424743,0.081298459,0.092446194,0.085014371,12.5,0.052,0.042,0.094,,,,
5,BS,A8,n2,Interrmediate,2,15,2.M,LF,0.01554,6,,,,9.3,3,0,0,5,5,63.6743215,0.058449282,0.018246355,0.00369451,0.076026478,0.088455393,0.08016945,12.5,0.052,0.037,0.089,,,,
5,BS,C2,n3,Interrmediate,3,15,2.M,F,0.0315,16,,,,10.2,3,1.609437912,4,9,13,64.06216275,0.197673869,0.068401211,0.002451383,0.460893872,0.528385397,0.483391047,28.3,0.174,0.075,0.249,,,,
5,BS,C2,n2,Interrmediate,3,15,2.M,,0.0147,8,,,,10.2,3,0,0,7,7,70.04686834,0.088446754,0.013087471,0.004751655,0.072541983,0.166034445,0.103706137,19.4,0.064,0.035,0.099,,,,
5,BS,C2,n1,Interrmediate,3,15,2.M,LF,0.00504,4,,,,11,3,0,0,5,5,58.41545132,0.053076535,0.022697988,0.002640506,0.070931212,0.072045494,0.071302639,12.5,0.024,0.012,0.036,,,,
5,BS,D5,n3,Interrmediate,3,15,2.M,F,0.01092,6,,,,6.4,2,0,0,4,4,47.17413442,0.031726446,0.024328473,0.001484401,0.076026478,0.062738534,0.071597163,12.5,0.028,0.026,0.054,,,,
5,BS,D5,n1,Interrmediate,3,15,2.M,,0.00714,5,,,,6.4,2,0,0,4,4,46.0704607,0.021629847,0.016628593,0.001884954,0.044738833,0.04304371,0.044173792,11.3,0.023,0.017,0.04,,,,
5,BS,D5,n2,Interrmediate,3,15,2.M,LF,0.00042,2,,,,7.2,3,0,0,3,3,,,,,0,,,7.2,0.005,0.001,0.006,,,,
5,BS,D7,none,LOW,1,15,2.M,,0.00084,4,,,,3,2,0,0,3,3,,,,,0,,,4,0.005,0.002,0.007,,,,
5,IS,A2,n2,HIGH,6,15,2.M,F,0.01512,14,,,,5.4,3,1.386294361,3,6,9,58.95474825,0.010752092,0.00369451,0.001125946,0.025122667,0.026035927,0.025427087,10.2,0.031,0.036,0.067,,,,
5,IS,A2,n5,HIGH,6,15,2.M,,0.00756,5,,,,4,3,0,0,5,5,62.31516688,0.006834922,0.002216706,0.000380132,0.008866824,0.009965123,0.009232924,6.4,0.012,0.018,0.03,,,,
5,IS,A2,n3,HIGH,6,15,2.M,,0.00672,6,,,,7,3,0,0,5,5,68.94299287,0.01568376,0.00246874,0.000865901,0.01336024,0.031146194,0.019288891,9.2,0.024,0.016,0.04,,,,
5,IS,A2,n1,HIGH,6,15,2.M,,0.00672,3,,,,5.3,3,0,0,4,4,80.90614887,0.008835722,0.000544752,0.000353429,0.004811973,0.013580505,0.007734817,5.3,0.008,0.016,0.024,,,,
5,IS,A2,n4,HIGH,6,15,2.M,,0.00546,4,,,,4.4,3,0,0,4,4,71.04557641,0.004412363,0.000706858,0.000228079,0.004241147,0.007758942,0.005413745,6,0.006,0.013,0.019,,,,
5,IS,A2,n6,HIGH,6,15,2.M,LF,0.00336,4,,,,5,3,0,0,3,3,,,,,0,,,5,0.012,0.008,0.02,,,,
5,IS,A3,none,LOW,1,15,2.M,,0.00882,4,,,,10.1,3,0,0,4,4,54.37100213,0.029440625,0.013092419,0.000962112,0.035848291,0.055321436,0.042339339,11.5,0.03,0.021,0.051,,,,
5,IS,B6,n2,Interrmediate,2,15,2.M,F,0.01932,15,,,,14.2,3,1.609437912,4,7,11,76.79023006,0.162318101,0.021462793,0.002387608,0.145686838,0.256469355,0.182614344,22.4,0.086,0.046,0.132,,,,
5,IS,B6,n1,Interrmediate,2,15,2.M,LF,0.00882,6,,,,8.3,3,0,0,5,5,61.2899918,0.06525106,0.017592904,0.004977457,0.051773403,0.095238793,0.066261867,10.3,0.032,0.021,0.053,,,,
5,MB,B2,n3,Interrmediate,3,15,2.M,F,0.03234,14,,,,8.4,3,1.791759469,5,8,13,70.06369427,0.105123885,0.022169415,0.003740691,0.14484018,0.217860627,0.169180329,19.6,0.1,0.077,0.177,,,,
5,MB,B2,n1,Interrmediate,3,15,2.M,,0.01176,8,,,,6.4,3,0,0,6,6,64.78925087,0.024328473,0.006503091,0.001716329,0.032515457,0.042563636,0.03586485,11.5,0.032,0.028,0.06,,,,
5,MB,B2,n2,Interrmediate,3,15,2.M,LF,0.00042,2,,,,4.3,3,0,0,3,3,,,,,0,,,4.3,0.002,0.001,0.003,,,,
5,MB,B3,n3,Interrmediate,3,15,2.M,F,0.03738,18,,,,11.3,2,1.791759469,5,6,11,74.21599274,0.212723342,0.027919939,0.004908734,0.168184392,0.361206981,0.232525255,25.3,0.183,0.089,0.272,,,,
